Statistical profiling result from isolate-0x4ea6bf0-409463-v8-409463.log, (26432 ticks, 89 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     41    0.2%    0.4%  LazyCompile: *MapToOperator.call /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mapTo.js:25:45
     41    0.2%    0.4%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:24:80
     40    0.2%    0.4%  LazyCompile: *emit node:events:318:44
     40    0.2%    0.4%  LazyCompile: *MergeMapOperator.call /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mergeMap.js:36:48
     39    0.1%    0.4%  LazyCompile: *parserOnMessageComplete node:_http_common:148:33
     39    0.1%    0.4%  LazyCompile: *Readable.on node:internal/streams/readable:871:33
     38    0.1%    0.3%  LazyCompile: *ReadableState node:internal/streams/readable:77:23
     37    0.1%    0.3%  LazyCompile: *afterWriteTick node:internal/streams/writable:488:24
     35    0.1%    0.3%  LazyCompile: *endReadableNT node:internal/streams/readable:1300:23
     34    0.1%    0.3%  LazyCompile: *socketListenerWrap node:_http_server:985:37
     33    0.1%    0.3%  LazyCompile: *stream$.subscribe.type /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:55:62
     33    0.1%    0.3%  LazyCompile: *_finish node:_http_server:209:52
     33    0.1%    0.3%  LazyCompile: *MergeMapSubscriber.notifyComplete /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/mergeMap.js:95:60
     32    0.1%    0.3%  LazyCompile: *Subscriber.unsubscribe /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscriber.js:81:49
     31    0.1%    0.3%  LazyCompile: *resume_ node:internal/streams/readable:979:17
     30    0.1%    0.3%  LazyCompile: *setRequestTimeout node:_http_server:770:27
     30    0.1%    0.3%  LazyCompile: *removeListener node:events:505:28
     30    0.1%    0.3%  LazyCompile: *SimpleInnerSubscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/innerSubscribe.js:26:54
     29    0.1%    0.3%  LazyCompile: *onParserExecuteCommon node:_http_server:696:31
     29    0.1%    0.3%  LazyCompile: *get useDeprecatedSynchronousErrorHandling /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/config.js:16:46
     29    0.1%    0.3%  LazyCompile: *<anonymous> node:_http_outgoing:561:44
     28    0.1%    0.3%  RegExp: ^(\/\/?(?!\/)[^?\s]*)(\?[^\s]*)?$
     28    0.1%    0.3%  LazyCompile: *_flush node:_http_outgoing:936:51
     27    0.1%    0.2%  LazyCompile: *pipe /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/fp-ts@2.10.2/node_modules/fp-ts/lib/function.js:290:14
     27    0.1%    0.2%  LazyCompile: *arrayClone node:events:656:20
     26    0.1%    0.2%  LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/+internal/utils/http.util.js:7:39
     25    0.1%    0.2%  RegExp: ^.*\.
